"BRND_CD","STO_LOC_ID","SHPG_TRXN_ID","SHPG_TRXN_LN_DT","TRXN_BGN_TM","SRC_RGST_NBR","ITM_SKU_NUM","SRC_SLS_PRSN_NUM","SRC_SLS_CSHR_NUM","FP_SLS_AMT","FP_SLS_QTY","CLR_SLS_AMT","CLR_SLS_QTY","MD_SLS_AMT","MD_SLS_QTY","GVWY_SLS_AMT","GVWY_SLS_QTY","NET_SALES","NET_SLS_QTY","RETURN_SALES","RETURN_QTY","ANGEL_TRXN","WT_UNT_CST_AMT","CUR_TKT_RTL_UNT_AMT"
"VSS","1016513"," 000000003167602163.","2017-08-02","15:05:29.000000","1","000000000023545597","101381783","101890006"," 0000000.00","0"," 0000000.00","0"," 0000004.12","1"," 0000000.00","0"," 000000004.12","1"," 0000000.00","0","N"," 000001.810"," 0000010.50"
"VSS","1013583"," 000000003167591593.","2017-08-02","13:47:18.000000","4","000000000023581481","101692089","101692089"," 0000000.00","0"," 0000000.00","0"," 0000024.69","1"," 0000000.00","0"," 000000024.69","1"," 0000000.00","0","Y"," 000006.270"," 0000028.95"
"VSS","1013593"," 000000003167592812.","2017-08-02","16:46:09.000000","2","000000000023551331","0","103111543"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.720"," 0000010.50"
"VSS","1017201"," 000000003167880715.","2017-08-02","21:20:47.000000","4","000000000023566877","0","101837369"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 0000000.00","1"," 000000000.00","1"," 0000000.00","0","N"," 000007.670"," 0000035.95"
"VSS","1017003"," 000000003167876195.","2017-08-02","18:03:59.000000","4","000000000023425821","103088531","103024680"," 0000032.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000032.95","1"," 0000000.00","0","N"," 000006.290"," 0000032.95"
"VSS","1017014"," 000000003167607629.","2017-08-02","14:43:29.000000","3","000000000023552065","101774261","101896302"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.610"," 0000010.50"
"VSS","1013583"," 000000003167869941.","2017-08-02","19:55:23.000000","2","000000000023568204","101827360","101761678"," 0000000.00","0"," 0000000.00","0"," 0000035.10","1"," 0000000.00","0"," 000000035.10","1"," 0000000.00","0","Y"," 000008.060"," 0000038.95"
"VSS","1013592"," 000000003167591086.","2017-08-02","12:53:21.000000","3","000000000024888903","101489735","101909703"," 0000024.81","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000024.81","1"," 0000000.00","0","Y"," 000006.830"," 0000000.00"
"VSS","1003249"," 000000003167579387.","2017-08-02","14:16:01.000000","2","000000000023563320","101531037","103117631"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000002.140"," 0000010.50"
"VSS","1005866"," 000000003167491527.","2017-08-02","14:51:14.000000","3","000000000023563704","0","101645923"," 0000010.50","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000010.50","1"," 0000000.00","0","Y"," 000001.850"," 0000010.50"
"VSS","1017023"," 000000003167605783.","2017-08-02","16:21:20.000000","4","000000000023581932","101863436","101863436"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.720"," 0000010.50"
"VSS","1017072"," 000000003167609021.","2017-08-02","12:39:46.000000","4","000000000023580845","103058332","103091750"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.970"," 0000010.50"
"VSS","1017095"," 000000003167610363.","2017-08-02","16:51:48.000000","3","000000000023528081","103070883","103066008"," 0000000.00","0"," 0000000.00","0"," 0000005.00","1"," 0000000.00","0"," 000000005.00","1"," 0000000.00","0","Y"," 000004.980"," 0000024.95"
"VSS","1013579"," 000000003167590910.","2017-08-02","14:39:12.000000","1","000000000023552345","0","101906874"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.780"," 0000010.50"
"VSS","1002813"," 000000003167971301.","2017-08-02","14:45:49.000000","7","000000000023558926","103020912","101768873"," 0000049.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000049.95","1"," 0000000.00","0","N"," 000014.330"," 0000049.95"
